SG_UF_RESIDENCIA,NU_IDADE,TP_SEXO,IN_TREINEIRO,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q006
BA,14,F,0,437.2,603.8,531.7,513.0,580.0,B
MG,14,M,1,592.7,390.3,433.7,658.3,600.0,G
BA,14,M,0,539.8,616.7,583.2,720.7,720.0,J
BA,14,M,1,522.2,496.1,489.3,415.4,500.0,C
BA,14,F,1,404.4,567.9,545.5,466.8,560.0,J
BA,14,F,1,516.1,549.7,547.4,598.3,640.0,B
MG,14,F,0,433.5,423.7,540.8,530.4,420.0,B
BA,14,F,1,445.2,339.8,523.6,518.9,300.0,D
BA,14,F,1,343.3,509.1,483.6,414.8,0.0,B
MG,14,M,0,500.7,427.2,439.7,438.2,520.0,E
MG,14,M,1,526.7,573.0,610.8,637.8,540.0,H
MG,14,M,0,494.3,565.9,566.1,502.4,760.0,H
MG,13,M,0,,460.1,466.1,,0.0,D
MG,14,F,1,372.4,476.3,545.4,456.0,340.0,C
MG,14,M,0,492.4,568.7,565.4,515.0,600.0,E
MG,14,F,0,,579.7,559.6,,580.0,L
MG,14,M,0,,,,,,L
MG,13,F,0,472.7,516.9,506.1,608.4,580.0,N
MG,14,M,1,450.6,456.6,445.2,427.1,500.0,C
MG,14,F,0,497.1,538.9,565.2,467.3,900.0,K
MG,14,M,0,,,,,,E
MG,14,F,0,500.5,,,530.6,,N
MG,14,M,1,375.9,453.6,530.1,410.0,500.0,B
PE,14,F,1,400.4,527.7,522.3,448.1,680.0,N
PE,14,M,0,421.1,430.5,501.0,473.7,640.0,D
PE,14,M,0,550.5,575.0,583.3,751.7,640.0,L
PE,13,F,0,397.9,515.9,541.0,670.4,740.0,G
PE,14,F,1,400.3,468.9,409.0,365.0,360.0,A
PE,13,M,0,518.2,570.6,482.5,643.4,500.0,N
PE,14,M,1,,574.7,575.3,,540.0,C
PE,14,F,1,395.8,419.7,421.8,432.9,600.0,G
PE,14,F,1,497.0,564.3,525.0,583.4,800.0,D
PE,14,M,1,633.5,638.3,610.3,801.7,820.0,I
PE,14,F,0,338.2,380.6,413.6,407.2,500.0,B
PE,14,F,1,379.0,425.2,523.8,364.6,0.0,E
PE,14,M,0,,565.3,542.8,,640.0,Q
PE,14,F,1,,,,,,B
PE,14,M,1,,391.2,414.5,,0.0,C
PE,14,F,1,422.9,506.3,519.4,515.8,740.0,B
PE,14,F,1,385.9,467.3,450.2,421.1,600.0,E
PE,14,F,1,,,,,,C
PE,14,F,1,512.3,422.0,477.0,438.6,540.0,C
PE,14,M,1,,,,,,E
PE,14,F,1,395.8,438.0,508.5,467.2,400.0,B
PE,14,F,1,492.4,391.5,366.6,372.8,720.0,A
PE,14,F,1,547.1,588.2,580.7,585.4,740.0,N
PE,14,F,0,538.5,563.8,551.2,634.3,740.0,D
AL,14,F,0,527.1,633.3,629.1,655.1,760.0,Q
PE,14,F,1,529.9,557.7,489.3,559.3,740.0,F
PE,14,F,1,434.7,505.7,565.4,473.5,520.0,B
PE,14,F,1,509.9,486.2,570.3,616.8,540.0,D
PE,14,F,1,504.6,594.1,582.9,591.7,680.0,C
PE,14,F,1,466.9,525.1,504.8,486.3,600.0,G
PE,13,F,0,467.1,411.6,535.8,379.8,520.0,B
PE,13,F,1,385.7,395.0,434.9,412.0,540.0,A
PE,14,F,1,,,,,,B
PE,13,F,0,415.3,421.3,465.6,415.3,0.0,A
PE,14,M,1,,405.6,428.9,,0.0,I
PE,14,F,0,416.6,447.5,524.2,442.4,560.0,B
PE,14,F,1,,,,,,B
PE,14,F,0,512.6,569.4,508.4,641.8,760.0,O
PE,14,M,1,500.8,323.2,565.5,535.5,440.0,E
PE,14,F,1,,381.7,444.4,,440.0,B
PE,14,M,1,551.5,613.4,585.5,619.4,560.0,C
AL,14,F,1,521.2,594.1,549.6,569.7,840.0,B
PE,14,F,1,560.4,588.8,589.8,612.3,700.0,F
PE,14,F,1,398.1,449.7,438.9,462.2,380.0,B
PE,14,F,1,382.4,447.1,500.8,398.1,0.0,B
PE,14,F,0,,,,,,D
PE,14,M,1,645.9,702.1,635.4,674.8,880.0,G
PE,14,M,0,358.1,434.4,419.8,642.4,580.0,H
PE,14,F,1,,610.0,612.5,,660.0,G
PE,14,M,1,682.4,639.1,597.1,750.3,720.0,I
PE,14,F,0,410.2,530.1,528.2,442.1,640.0,J
PE,14,F,1,454.4,437.2,473.5,460.1,440.0,F
PE,14,F,1,469.5,503.7,491.1,500.7,320.0,B
PE,14,F,0,521.7,558.3,552.8,613.2,760.0,G
PE,14,F,1,370.7,429.2,489.6,587.5,620.0,A
PE,14,M,0,,486.3,526.5,,500.0,O
PE,14,M,1,451.8,511.6,573.5,552.6,520.0,B
PE,14,F,1,545.6,576.6,548.0,502.7,720.0,F
SE,14,M,0,363.1,556.1,529.1,542.3,640.0,C
SE,14,F,0,495.1,616.7,585.6,709.5,920.0,G
SE,14,F,1,428.5,339.0,448.9,426.0,560.0,B
SE,14,F,0,380.3,423.1,475.6,437.3,320.0,B
